Strategy,Model,Fold,Test_Acc,Test_F1,Test_Loss,Test_Participant,Test_Participants
LOSO,LSTM,14,0.8028600612870276,0.8021746179872135,0.7499145845348916,14,
LOSO,Transformer,14,0.7303370786516854,0.7221043112013098,1.1580206194590013,14,
LOSO,SDCNet,14,0.8335035750766088,0.8311161260974074,0.7721324411960009,14,
LOSO,DNN,15,0.682454251883746,0.6649515269511602,0.7859253963561823,15,
LOSO,LSTM,15,0.7545748116254036,0.7470912381228799,1.1043009431580404,15,
LOSO,Transformer,15,0.7308934337997847,0.7138609550525803,1.1953875748530849,15,
LOSO,SDCNet,15,0.8051668460710442,0.8008219632355916,0.7158658334264076,15,
LOSO,DNN,16,0.675818373812038,0.6435516394950962,0.7349422332981195,16,
LOSO,LSTM,16,0.8352692713833157,0.8328625682793198,0.5032267237383058,16,
LOSO,Transformer,16,0.7961985216473073,0.7923461298524633,0.8115029898018516,16,
LOSO,SDCNet,16,0.9007391763463569,0.9011829731946961,0.45867868148010726,16,
LOSO,DNN,17,0.5387978142076503,0.48556842663374744,1.0229279671861826,17,
LOSO,LSTM,17,0.7256830601092896,0.7201342038758813,1.0319318470407706,17,
LOSO,Transformer,17,0.7934426229508197,0.7922091232096133,0.987323772711832,17,
LOSO,SDCNet,17,0.8491803278688524,0.8487760774321852,0.5836209737863697,17,
LOSO,DNN,18,0.636766334440753,0.605843175326612,1.0761738240652834,18,
LOSO,LSTM,18,0.43853820598006643,0.39482626290436007,1.317504026036986,18,
LOSO,Transformer,18,0.7253599114064231,0.6872238155122343,1.7221237079117648,18,
LOSO,SDCNet,18,0.8482834994462901,0.8427853054201433,0.5645725387143402,18,
LOSO,DNN,19,0.647119341563786,0.6246354451649742,0.8537174545443107,19,
LOSO,LSTM,19,0.8323045267489712,0.8319183004942098,0.8462626163085056,19,
LOSO,Transformer,19,0.8117283950617284,0.8108771244218496,0.9483399498563858,19,
LOSO,SDCNet,19,0.8364197530864198,0.8382213200857415,0.7290213636348768,19,
LOSO,DNN,20,0.7913513513513514,0.7880482881631726,0.6839470033871161,20,
LOSO,LSTM,20,0.9016216216216216,0.9002264576722403,0.3237467583530658,20,
LOSO,Transformer,20,0.8648648648648649,0.8608232503416059,0.5536370809295693,20,
LOSO,SDCNet,20,0.9686486486486486,0.9685081132658975,0.09546692779596039,20,
LOGO,DNN,1,0.5287272727272727,0.5328788141398124,1.2556223251386123,,"(np.str_('01'), np.str_('02'), np.str_('03'))"
LOGO,LSTM,1,0.633090909090909,0.6369591000164083,1.5824448228315873,,"(np.str_('01'), np.str_('02'), np.str_('03'))"
LOGO,Transformer,1,0.628,0.6310947501360685,1.8021212549859826,,"(np.str_('01'), np.str_('02'), np.str_('03'))"
LOGO,SDCNet,1,0.6898181818181818,0.6917638219851872,1.3316820030212402,,"(np.str_('01'), np.str_('02'), np.str_('03'))"
LOGO,DNN,2,0.5005382131324004,0.5004975314015545,1.384322673349685,,"(np.str_('01'), np.str_('02'), np.str_('04'))"
LOGO,LSTM,2,0.5145317545748116,0.5080899427335678,1.5108441944656126,,"(np.str_('01'), np.str_('02'), np.str_('04'))"
LOGO,Transformer,2,0.6297093649085038,0.6270243457193512,1.8432503045995388,,"(np.str_('01'), np.str_('02'), np.str_('04'))"
LOGO,SDCNet,2,0.7000358808754934,0.6976792654719811,1.387033796070894,,"(np.str_('01'), np.str_('02'), np.str_('04'))"
LOGO,DNN,3,0.4484480913307171,0.45210970311009147,1.6967106557428262,,"(np.str_('01'), np.str_('02'), np.str_('05'))"
LOGO,LSTM,3,0.3517659650374599,0.3367948378983128,2.3865380709059867,,"(np.str_('01'), np.str_('02'), np.str_('05'))"
LOGO,Transformer,3,0.5561897966464502,0.5602882561232935,2.814871175221958,,"(np.str_('01'), np.str_('02'), np.str_('05'))"
LOGO,SDCNet,3,0.7017481270067785,0.7019331465068823,1.7525581292192711,,"(np.str_('01'), np.str_('02'), np.str_('05'))"
LOGO,DNN,4,0.5598995695839312,0.5579634134351206,1.13966452476797,,"(np.str_('01'), np.str_('02'), np.str_('06'))"
LOGO,LSTM,4,0.44081779053084647,0.44322937944302315,1.9148244758589539,,"(np.str_('01'), np.str_('02'), np.str_('06'))"
LOGO,Transformer,4,0.6664275466284074,0.6684373127208589,1.9106204534401126,,"(np.str_('01'), np.str_('02'), np.str_('06'))"
LOGO,SDCNet,4,0.766857962697274,0.7682002109998054,0.9533469547094027,,"(np.str_('01'), np.str_('02'), np.str_('06'))"
LOGO,DNN,5,0.5861321776814734,0.5824584425035886,1.130301025788592,,"(np.str_('01'), np.str_('02'), np.str_('07'))"
LOGO,LSTM,5,0.6948356807511737,0.6949367181054658,1.3160432350037115,,"(np.str_('01'), np.str_('02'), np.str_('07'))"
LOGO,Transformer,5,0.6403033586132177,0.6386252198032024,1.5847423801292104,,"(np.str_('01'), np.str_('02'), np.str_('07'))"
LOGO,SDCNet,5,0.8010111953773925,0.803431888276757,0.8934191330304082,,"(np.str_('01'), np.str_('02'), np.str_('07'))"
